source_node,target_node,weight
66,8156,2.5
66,147,7.6
66,1721,1.6
66,59,7.1
67,5096,5.6
67,1122,4.8
67,6780,9
67,5777,3.9
68,3552,6.1
68,635,1.6
68,3067,7.5
68,2672,1.7
69,6742,5.8
69,9811,3.6
69,1994,7.5
69,8413,7.2
70,5021,1.3
70,1155,0.1
70,1470,2.5
70,1206,5.1
71,2975,0.5
71,2346,7.1
71,5043,1.1
71,313,0.6
72,600,3.6
72,4568,2.6
72,3430,6.9
72,7290,8.7
73,1352,5.6
73,36,1.3
73,6315,3.3
73,3634,6.6
74,8757,7.1
74,216,5.4
74,9304,6.9
74,6810,2.1
75,8183,9
75,2608,9.2
75,3912,4.1
75,7796,8.4
76,1643,2.1
76,8862,2.8
76,8250,9.7
76,1458,7.8
77,1153,8.2
77,6984,4.8
77,1359,10
77,4429,3
78,8333,4.5
78,5944,5
78,3167,4.4
78,9840,6.3
79,425,1.9
79,5004,7.9
79,2549,6.7
79,6154,6.9
80,9778,8
80,2052,6.5
80,5022,6.3
80,7327,9.3
81,1895,0.6
81,1126,8.4
81,9454,8.8
81,1528,9.7
82,9277,4.5
82,637,9.5
82,8410,5.6
82,1630,9.8
83,429,9.4
83,7381,8.4
83,911,2.2
83,9987,9.6
84,7428,6.7
84,193,9.9
84,8650,8
84,9881,7.3
85,4818,3.5
85,6614,1.9
85,4798,7.9
85,2329,7.1
86,8140,4.2
86,3038,7.5
86,6722,2.7
86,814,1.7
87,8250,1.7
87,5734,4.6
87,2976,1.3
87,8423,0.2
88,8042,3.6
88,255,8
88,1447,7.1
88,2473,5.9
89,7723,9.4
89,5120,3.5
89,4538,4.3
89,3226,5.5
90,9731,3.7
90,3875,9.9
90,2735,5.3
90,7158,1.4
91,3897,7.9
91,6340,9.4
91,6288,2.8
91,8958,9.5
92,7787,9.8
92,1189,0.9
92,4829,7.7
92,213,6.1
93,3898,0.9
93,6460,6.9
93,4920,8.8
93,7281,2.7
94,2649,8.9
94,5859,9.9
94,8488,7.6
94,4960,1.9
95,3937,0.4
95,6392,7.3
95,5799,3.5
95,6384,5.1
96,2160,3
96,3931,4.2
96,8691,0.8
96,4886,9.5
97,422,6.7
97,7971,7.7
97,2369,3.6
97,2088,9.7
98,3751,8.6
98,9848,8.6
98,7893,5
98,9651,3.4
99,8731,4.1
99,5066,4.8
99,6636,4.3
99,3862,5
100,4913,9.9
100,3097,8.6
100,3730,2.7
100,2804,1.5
101,5399,8
101,7899,0.3
101,5180,2.1
101,8070,4.6
102,916,1.3
102,4217,9.8
102,9503,0.6
102,6727,2.5
103,4127,0.1
103,5218,0.6
103,8567,7.5
103,150,0.7
104,821,0.5
104,2519,3.9
104,9122,3.5
104,8648,0.7
105,7959,2.5
105,9245,0.7
105,4594,8.6
105,9555,9.4
106,8585,8
106,1022,8.9
106,4814,8.9
106,7284,10
107,9764,2.5
107,1689,5.4
107,6001,3.1
107,8537,4.4
108,149,7.2
108,2477,4.7
108,3146,5
108,4392,2.9
109,2715,3.7
109,8690,0.4
109,954,5.6
109,9863,6.1
110,1149,2.9
110,1536,3.2
110,4425,5.4
110,9714,6.9
111,770,7.9
111,1301,4.7
111,7986,2.4
111,6216,1.5
112,8024,2.1
112,8003,7.9
112,1490,3.1
112,3150,7.5
113,3614,1.6
113,4896,9.9
113,2013,3
113,8986,7
114,2329,6
114,1781,9.1
114,9113,9.7
114,3545,1
115,4371,9.3
115,9023,6.6
115,3745,0.9
115,7674,8.1
116,3991,3.5
116,7809,8.7
116,7251,1.8
116,8096,1
117,2854,2.3
117,2976,4.4
117,5698,2
117,1444,5.1
118,9637,3.6
118,3158,4.6
118,1525,6.6
118,5601,4.1
119,508,9.1
119,112,4.3
119,4375,5.4
119,2998,6.9
120,9689,2.3
120,9824,4.6
120,5397,6
120,2472,3.3
121,891,7.7
121,7259,8.3
121,9042,5
121,7357,6.6
122,536,8.1
122,7355,2.8
122,1718,8.2
122,3842,4.4
123,152,2.3
123,735,6.2
123,8379,4
123,2342,4.5
124,2247,5.5
124,1190,8.6
124,3839,5.2
124,7884,8.2
125,9206,9.4
125,1288,7.6
125,2021,5.7
125,5213,4.8
126,1819,7.9
126,6973,9.5
126,9924,8
126,756,7.6
127,5292,7.1
127,9043,2.6
127,1670,9
127,1456,1.1
128,2584,3.3
128,5500,1.7
128,2362,3.4
128,8774,3.1
129,5839,1.9
129,2286,3.8
129,3714,5.2
129,8028,6.8
130,8533,4.7
130,2130,8.5
130,8246,3.7
130,4431,2.8
131,4483,1.1
131,6870,2.8
131,4799,4
131,4462,7.2
132,2645,5.3
132,5563,0.8
132,2621,9
132,9645,2.1
133,1549,5.9
133,9463,0.2
133,3378,9.5
133,9955,10
134,6751,2.4
134,8324,5.9
134,3428,4.3
134,4092,3
135,8995,7.7
135,8031,1.3
135,191,7.1
135,7,0.4
136,2630,3.3
136,6170,4.3
136,9217,1.7
136,601,6.8
137,3657,7.8
137,4010,2.4
137,444,5.5
137,5208,1.8
138,6336,1.4
138,1337,6.1
138,2391,3.7
138,3489,4.4
139,9428,3.5
139,8326,4.3
139,5982,7.4
139,7875,8.3
140,9298,2.7
140,3024,6.5
140,1389,2.2
140,7346,2
141,506,4.1
141,799,7.6
141,7913,7.9
141,837,0.3
142,2641,5
142,7867,2.6
142,3927,6
142,1976,3.9
143,9103,7.6
143,4466,3.4
143,9411,8.5
143,2378,5.7
144,9362,7.9
144,2119,3.2
144,7482,2.2
144,2880,2.8
145,8697,0.3
145,6686,5.4
145,7264,2.7
145,9488,3.9
146,4810,2.3
146,9361,0.8
146,4235,0.6
146,4503,8.7
147,668,5.7
147,7917,6
147,9590,8.8
147,4500,0.9
148,4397,3.1
148,2054,2.2
148,1552,8.4
148,4107,1.8
149,5854,1.6
149,9439,0.2
149,6314,3.6
149,6643,4.2
150,5778,2.1
150,8178,7.7
150,6924,0.9
150,6088,6
151,6722,2.5
151,1054,0.7
151,1345,7.6
151,4217,2.8
152,5932,4.9
152,4484,3.6
152,6758,1.2
152,9691,1.2
153,624,9.2
153,4346,8.7
153,8591,2.1
153,7844,3.6
154,6737,2.8
154,1432,9.4
154,242,2
154,113,0.2
155,4730,5.6
155,6542,8.9
155,1369,8.4
155,5409,3.8
156,2055,3.2
156,1979,2.6
156,6437,6.2
156,6664,7.5
157,8215,4
157,375,3
157,3958,4.2
157,9773,1.2
158,4369,5.3
158,2682,3.5
158,9844,2.8
158,28,6
159,9340,9
159,2419,6.4
159,1001,6.5
159,2021,9.9
160,9109,6.9
160,6322,6.4
160,5796,9.9
160,7658,0.3
161,6556,6.3
161,2942,0.3
161,5223,7.2
161,3637,10
162,7447,3.5
162,4704,3.5
162,3258,3.9
162,4880,5.1
163,7294,6
163,7014,8.5
163,3447,0.9
163,8059,3.9
164,4462,1.5
164,8513,7.4
164,7452,9.8
164,8138,3.1
165,135,9
165,4983,6.6
165,4300,9.4
165,1780,6.2
166,7470,7.5
166,3954,4.4
166,957,0.1
166,1013,9.5
167,8059,6.1
167,4031,1.9
167,395,9
167,5900,9.3
168,2043,5
168,6000,3.5
168,4196,7.9
168,3630,6.5
169,8927,4.7
169,7579,6.2
169,8810,6.8
169,1073,3.4
170,9724,10
170,1640,10
170,9749,7.2
170,5906,1.6
171,7657,8.1
171,230,5.6
171,7102,2.8
171,7985,6.2
172,8500,8.2
172,983,1.2
172,7925,4.3
172,5263,7.9
173,2237,8.8
173,3792,6.1
173,2716,3.5
173,2294,2.2
174,521,0.2
174,2650,2.8
174,9385,5.8
174,4337,7
175,369,7.3
175,7748,3.8
175,9000,1.3
175,5120,2.3
176,7040,1.6
176,6574,8.9
176,710,3.3
176,6998,5
177,9320,6.1
177,8671,4.5
177,152,0.9
177,3514,3.3
178,4430,2.9
178,3856,4
178,4258,4.2
178,2217,5.6
179,1498,4.8
179,6239,9.4
179,8928,8.7
179,5411,4.5
180,9128,5.1
180,638,7
180,2033,0.6
180,8393,9.4
181,1529,0.8
181,945,1.9
181,2662,2.5
181,5637,7.4
182,2579,6.2
182,1347,3.2
182,6167,5.3
182,2755,7.1
183,7372,1.4
183,1809,0.4
183,7135,7
183,2560,7.9
184,4483,7.9
184,1949,7.9
184,475,2.4
184,9074,5.8
185,168,0.3
185,1324,4.3
185,895,8.4
185,5168,3
186,8815,7.6
186,2121,5.5
186,1553,6.1
186,9221,5.1
187,8113,4
187,1472,0.4
187,2972,5.6
187,8641,7.2
188,2154,8.9
188,1268,9.5
188,7566,3.7
188,7032,10
189,1404,7.8
189,1434,6
189,3979,0.8
189,1441,1.7
190,6315,4
190,699,1.5
190,5960,8.4
190,8792,3.6
191,6559,8.9
191,2534,8.1
191,8736,1.9
191,7485,7.5
192,6677,3.2
192,4108,7.9
192,6706,6.4
192,4786,0.6
193,8590,5.9
193,5954,3.6
193,4609,9.2
193,6625,8.7
194,3742,1.6
194,8050,9.8
194,3411,8.6
194,5940,6.6
195,7646,8.5
195,3210,4.5
195,8594,4.6
195,9595,7.7
196,843,1.7
196,6891,8.3
196,8702,4.2
196,1530,0.5
197,1637,3.6
197,2171,5.3
197,8426,1.2
197,1256,6.3
198,6321,3
198,8820,1.7
198,7034,3.8
198,5201,5.3
199,1799,4.9
199,932,5.4
199,4123,6.6
199,5,7
200,4004,5
200,5259,4.3
200,1771,5
200,5447,9.3
201,1482,9.2
201,4895,8.4
201,173,2.1
201,7631,3.9
202,1995,0.2
202,6875,6.8
202,4598,6
202,2248,7.6
203,4929,2.8
203,5115,5.7
203,1539,9
203,2114,8.2
204,3770,3.3
204,4066,8.3
204,6001,4.4
204,8625,7
205,2852,4
205,5381,5.3
205,3075,5
205,4716,4.5
206,2501,1.4
206,830,6.6
206,1279,1.2
206,47,2.4
207,5046,9.8
207,1625,5.4
207,1,7
207,2154,0.8
208,6002,6.1
208,7386,1
208,4423,6
208,448,0.3
209,8732,1.9
209,4101,6.8
209,1155,0.7
209,8777,7.8
210,8902,0.8
210,2980,1.7
210,9660,3.9
210,7168,8.1
211,107,6.3
211,5,9.6
211,2238,7.1
211,885,1.8
212,5895,9.1
212,8506,9
212,6405,7.9
212,1436,6.6
213,7593,6.5
213,743,6
213,6918,1.3
213,6140,1
214,2216,5.5
214,4839,3.9
214,6966,9.2
214,7777,7.1
215,170,2.4
215,4551,6.1
215,3921,6.7
215,8507,8.2
216,8590,4.2
216,7161,6.9
216,4260,9.2
216,3869,0.1
217,7236,0.6
217,5907,4.7
217,9203,3.5
217,4271,4.4
218,7248,8.8
218,4366,4.5
218,7829,3.5
218,6108,8.9
219,8011,7.2
219,6007,3.9
219,899,8.4
219,6980,4.1
220,8562,5.8
220,2305,5.2
220,7708,0.4
220,3931,2.1
221,3717,3.5
221,481,6.3
221,9796,8.1
221,7929,9
222,2600,0.2
222,1505,9.5
222,8752,4.4
222,1992,3.3
223,7430,6.4
223,4334,4.3
223,5355,1.8
223,3865,0.3
224,8537,8.4
224,2105,5.9
224,2804,9.4
224,7871,0.6
225,4115,0.3
225,3497,6.5
225,2350,0.8
225,7473,5.8
226,5128,1.7
226,2648,3.6
226,6415,7.2
226,8093,3.3
227,6018,1.5
227,5938,7.3
227,2418,4.8
227,2320,8.4
228,9499,8.7
228,1177,9.7
228,1317,5.4
228,4767,7.5
229,3767,5.9
229,8740,9.6
229,699,4.7
229,6097,6.5
230,8248,1.7
230,635,7.4
230,4907,1.9
230,7138,9.4
231,2391,3.7
231,9212,4.9
231,1855,9.4
231,8338,3.1
232,8994,3.1
232,6121,3.2
232,9655,2.4
232,3764,5
233,1800,0.9
233,6440,8.6
233,7779,7.8
233,2592,2.7
234,5326,4.7
234,290,2.7
234,7420,2.7
234,225,2.4
235,8958,0.2
235,6228,7.4
235,5307,2.4
235,744,3.3
236,51,7.6
236,9985,4.2
236,3328,8.5
236,5143,5.3
237,8367,6
237,6046,8.1
237,6701,2.1
237,8582,10
238,1829,8.2
238,8421,0.4
238,7321,1.8
238,4049,6.2
239,8079,4.7
239,8275,0.9
239,7358,5.1
239,8424,1
240,9496,1.1
240,9498,2.8
240,795,3.2
240,3710,4.9
241,1875,4.1
241,687,1.9
241,754,8.1
241,5755,0.7
242,5939,5.5
242,7212,3.3
242,5387,2.3
242,9834,9
243,6977,9.9
243,1391,9.8
243,1695,9.8
243,1404,9
244,2409,4.7
244,8906,1.4
244,5150,6.9
244,8179,9.8
245,4525,1.4
245,1009,5.4
245,9562,3.3
245,1399,7.7
246,5169,6.1
246,1903,6.2
246,7033,2.3
246,7172,2.2
247,2829,1.4
247,2530,4.1
247,4951,9.7
247,9770,0.1
248,3198,6.4
248,3370,0.3
248,1362,1.3
248,1788,0.3
249,9540,3
249,1342,2.7
249,8460,7
249,8402,3.8
250,6982,9.2
250,8647,2.2
250,9548,0.4
250,1255,1.1
251,2138,8.1
251,7858,5.4
251,2861,6.5
251,908,7.5
252,3454,6.7
252,34,9.3
252,4574,2.7
252,611,3.4
253,8402,0.9
253,6924,3.3
253,9120,5.9
253,9716,2.6
254,938,6.8
254,42,3.9
254,3164,3.6
254,108,4.5
255,6897,4.3
255,8297,0.9
255,8570,5.7
255,6105,7.9
256,9633,8.7
256,5259,3
256,4571,1.5
256,4623,2.9
257,6380,5.9
257,6053,5.4
257,6160,4.8
257,1126,7.7
258,2087,3.4
258,3442,4.7
258,2752,9.5
258,9049,1.6
259,121,4.4
259,5678,9.7
259,5398,4.1
259,3944,8.6
260,8144,2.1
260,1851,7.9
260,8544,6.1
260,8327,0.1
261,7004,8.9
261,5168,5.6
261,1601,9.3
261,9550,6.3
262,962,3.3
262,9877,4.3
262,9520,4
262,4535,1.9
263,5851,2.1
263,3817,6.3
263,1304,3.3
263,3075,7.2
264,1955,5.5
264,1836,2.8
264,8326,9.8
264,9061,6.2
265,7594,6.3
265,9925,2.8
265,3806,9.9
265,6437,2.7
266,2966,0.1
266,2365,0.7
266,5925,3.9
266,3087,5.1
267,4687,6.8
267,5745,0.3
267,3352,2.6
267,6049,8.1
268,5057,7.5
268,6452,4.9
268,7620,3
268,2528,6
269,957,1.1
269,732,1
269,6844,1.3
269,8836,5
270,681,0.3
270,7600,7
270,7991,3.6
270,4055,8.1
271,2716,1.6
271,3712,0.1
271,1551,8.7
271,9946,2.4
272,9699,9.2
272,621,6.9
272,3075,1.1
272,7264,8.2
273,1998,5.5
273,8908,9.4
273,3894,2.7
273,2161,4.8
274,8787,6.6
274,4264,8.6
274,1917,9.2
274,2393,7.9
275,7050,1.4
275,877,2.9
275,3317,3.3
275,4678,2.3
276,1920,8.3
276,6782,0.1
276,3211,0.3
276,1869,1.8
277,2805,8.2
277,7759,9.5
277,1074,4.6
277,6358,0.5
278,1917,1
278,252,6.1
278,4080,4.2
278,5883,8.5
279,5827,4.8
279,688,0.6
279,7937,2.3
279,4061,9.6
280,6017,7.9
280,5519,7.7
280,6723,8.1
280,7775,2.6
281,7561,3.7
281,2573,4.6
281,6376,8.5
281,2505,7.7
282,1263,5.1
282,9908,2
282,9960,6.6
282,2375,4.5
283,972,6.1
283,4737,4.5
283,9340,6.1
283,903,6.8
284,77,1.2
284,4935,4.9
284,8644,3.3
284,4783,6.7
285,3170,9.4
285,6780,6.8
285,2433,0.4
285,1748,2.3
286,1808,3.4
286,6791,7.5
286,2444,5.7
286,8084,6.9
287,5440,5.8
287,9368,1
287,1629,6.3
287,4685,3.1
288,445,3.9
288,4048,8.9
288,2485,2.4
288,5523,4.1
289,3097,2.4
289,4101,3
289,6517,0.8
289,830,0.4
290,6793,6.2
290,911,2.5
290,4596,1.7
290,9289,1
291,4901,3.7
291,7374,8.1
291,781,5.8
291,2181,4.8
292,7257,4.6
292,6625,8.9
292,8095,6.1
292,2692,4.7
293,9062,8.8
293,9168,9.5
293,8843,7.9
293,9327,2
294,481,7.2
294,4259,8.8
294,4121,9.7
294,7872,2
295,9891,2.8
295,5225,6.2
295,180,1.7
295,7464,8.9
296,6136,8.4
296,114,6
296,2729,0.1
296,1818,2.7
297,3808,8
297,5829,4.2
297,8732,1.6
297,4111,0.3
298,2625,2.3
298,5275,7
298,7827,2.2
298,5776,2.3
299,8131,5.5
299,9682,4
299,3385,5.6
299,1279,5.2
300,2035,9
300,3948,3.5
300,6588,7.4
300,4030,1.9
301,3872,5.5
301,9917,6.6
301,5679,5.2
301,8725,9.3
302,5073,3.9
302,8848,6
302,8233,9.8
302,3313,4.3
303,6669,3.2
303,114,9.3
303,3060,7.2
303,8896,4.6
304,2625,3.8
304,4005,3
304,8975,5.8
304,6054,3.6
305,4046,2.5
305,3710,8.8
305,3821,0.9
305,5707,2.9
306,9624,3.6
306,1848,3.8
306,9732,4
306,859,1.1
307,808,4.2
307,1711,1.5
307,4814,0.4
307,1189,4.7
308,9371,5.9
308,2614,1.7
308,3835,7.7
308,7452,9
309,145,3.5
309,5938,4.8
309,1934,1.4
309,8729,5.7
310,7406,3.1
310,364,10
310,8587,7.7
310,4390,2.5
311,6877,2.2
311,2275,8.7
311,591,0.4
311,9092,9.9
312,296,4.5
312,6855,2
312,8056,9.3
312,5079,3.3
313,6241,5.6
313,7311,0.2
313,3433,7.6
313,7061,2.3
314,7805,2.7
314,1396,9.7
314,1239,7.9
314,9946,8.7
315,4995,7.7
315,9892,7.6
315,8047,0.1
315,4679,1.7
316,6145,2.1
316,4721,1.4
316,397,8.8
316,4158,8.4
317,2967,2
317,4991,6.2
317,4678,4.5
317,7272,4.4
318,5690,2.8
318,2233,6.7
318,1536,3.3
318,9167,7
319,771,6.8
319,796,0.8
319,6708,0.2
319,85,5.5
320,1453,3.4
320,8954,10
320,1491,1.7
320,8283,10
321,1979,5.6
321,2585,5.9
321,1134,5.1
321,1530,7.1
322,5263,6.7
322,5537,10
322,7965,3.2
322,6526,1.3
323,6372,2.3
323,1506,8.5
323,745,5.9
323,4741,6.7
324,1781,9.6
324,3211,5.8
324,4913,4.9
324,2805,0.9
325,7652,1.9
325,8452,1.1
325,2905,7
325,371,6.6
326,6212,3.1
326,4262,0.5
326,3654,1.8
326,2093,3
327,9455,9.2
327,3917,7.2
327,1732,0.5
327,9217,1
328,9249,1.2
328,1437,6
328,8880,9.5
328,4212,0.7
329,6459,2.5
329,1866,8.8
329,3038,8.9
329,8860,8.3
330,2017,7.6
330,2270,7.8
330,6372,4.2
330,8773,3.5
331,1468,5.7
331,215,8.1
331,5885,4.7
331,4144,8
332,3160,8.5
332,2951,6.2
332,712,4.7
332,4592,2.6
333,4823,8.6
333,4082,4.7
333,9222,3.6
333,427,5.6
334,7181,5.1
334,2643,7
334,1295,3.2
334,6767,4.5
335,4882,6.1
335,3495,1.2
335,9597,3.7
335,8522,7.2
336,451,0.7
336,4592,4
336,6208,0.6
336,3329,7
337,8497,1.1
337,5572,9.9
337,5480,5.5
337,6874,1.5
338,1696,3.1
338,444,5.1
338,3774,6.5
338,177,4.8
339,5961,0.9
339,6069,5.3
339,1132,4.3
339,3111,2.4
340,5241,7.1
340,6882,8.9
340,4736,1.8
340,5407,7.4
341,1488,9.9
341,6024,7.4
341,7085,3.5
341,1759,2.8
342,4883,5.2
342,7184,7.5
342,8266,9.2
342,405,3.6
343,6459,3.2
343,5001,4.3
343,3393,0.6
343,8111,3.8
344,979,9.6
344,2324,2.6
344,8609,7.8
344,8642,1.9
345,8829,8.3
345,8806,2.2
345,109,3.9
345,2548,3.7
346,1550,8.3
346,825,1.9
346,6635,7.7
346,8914,0.1
347,9149,9
347,5499,4.3
347,9461,8.1
347,2714,8.7
348,6601,5.8
348,9870,1.9
348,2011,1.9
348,9218,1.3
349,1040,5
349,2038,1.2
349,9103,1.1
349,1232,4.8
350,7528,8.3
350,1310,1.1
350,3688,9.7
350,8303,0.6
351,3370,3.9
351,291,9.8
351,7055,0.1
351,4481,1.5
352,7602,7
352,2152,9.2
352,2069,5.9
352,615,4
353,736,2
353,4752,10
353,4956,0.7
353,6474,0.7
354,2442,0.8
354,5031,6.6
354,569,3.9
354,1238,5.2
355,6712,9.6
355,5786,4.1
355,8536,0.8
355,2106,6.9
356,7734,3
356,2090,1.6
356,2248,2.1
356,9145,8.4
357,3254,0.9
357,3500,3
357,1499,6
357,3164,9.6
358,4171,0.6
358,4828,5.4
358,8599,6.7
358,446,7.5
359,5023,0.4
359,7606,9.1
359,904,6
359,6046,9.9
360,6238,7.3
360,748,5.7
360,8955,7.7
360,2257,3.2
361,7721,5.8
361,5747,3
361,7205,1.3
361,5629,3.2
362,1620,5.8
362,8293,6.1
362,3738,5.7
362,7023,8.3
363,5176,7.1
363,592,5.5
363,1334,5.7
363,5126,2.3
364,4450,8.8
364,1174,9.3
364,471,4.4
364,4693,7.7
365,1522,7
365,939,1.5
365,9649,5.9
365,9957,0.2
366,253,0.3
366,6698,9.6
366,4889,6.6
366,4897,1.6
367,603,9.8
367,6033,5.6
367,8875,7.7
367,3768,9.8
368,6425,6.5
368,2864,6.1
368,5252,8.1
368,4031,7.9
369,5832,7.7
369,4974,5.4
369,2120,6.1
369,3372,3.2
370,5485,1
370,7763,8.7
370,4525,9.3
370,828,2.1
371,2991,1.2
371,7199,0.7
371,2750,4.2
371,6462,8.4
372,7244,5.1
372,7298,8.1
372,3625,9.2
372,3445,0.2
373,84,4
373,5730,3.5
373,4241,6.7
373,394,1.6
374,2060,0.5
374,1193,8.2
374,829,4.7
374,1640,4.7
375,9517,0.6
375,3812,4
375,4055,5.6
375,3294,4.1
376,8546,2.2
376,2404,6
376,3327,9.8
376,1713,1.4
377,270,4.6
377,4769,0.2
377,4117,0.1
377,3911,8.3
378,5747,1.5
378,5906,1.2
378,3858,8.7
378,2525,1.4
379,3916,3
379,4806,0.7
379,1296,2.9
379,7186,3.6
380,4692,1.9
380,5327,9.2
380,9501,9
380,4905,5
381,5101,1.1
381,5633,4.7
381,652,6.4
381,6875,0.1
382,570,2.5
382,4503,3.5
382,1076,7.7
382,5971,4.2
383,3717,9.8
383,5567,1.1
383,4355,8.9
384,439,3.8
384,673,5.7
384,4391,3.2
384,4708,3.1
385,7719,1.7
385,6380,1.6
385,4517,9.7
385,9371,3.9
386,5706,0.8
386,1949,0.5
386,1121,5.4
386,7397,7.1
387,2523,6.7
387,7353,9.4
387,9810,10
387,4033,8.6
388,1052,9.1
388,1244,7.2
388,5858,4.3
388,805,9.4
389,9298,4.8
389,8724,2.5
389,2049,0.5
389,9911,5.3
390,4005,0.2
390,2994,0.6
390,5299,6.8
390,804,7.5
391,6452,0.7
391,2396,3.4
391,4382,7.6
391,2780,6.3
392,416,5.1
392,1325,2.6
392,3677,3.5
392,8675,9.8
393,9996,4.3
393,2243,5.2
393,8463,0.7
393,3954,9.8
394,4708,1.6
394,2464,9.2
394,249,3.9
394,6901,7.2
395,3795,0.5
395,1594,5.7
395,3024,7.5
395,8219,3.5
396,3979,4.8
396,4363,6.1
396,624,1.1
396,1561,4.7
397,9200,8.1
397,8402,10
397,9031,0.8
397,8550,5.9
398,4861,3.3
398,4191,2.6
398,234,5.9
398,3664,8.3
399,9150,4.4
399,3803,7.4
399,2719,7.2
399,4054,8.2
400,4852,9.1
400,9038,3.1
400,6290,5.2
400,6012,4.1
401,2261,9.6
401,7287,2.7
401,2449,1.5
401,8523,1.4
402,1945,6.5
402,6168,1.9
402,2944,6.3
402,6222,2.2
403,1390,0.9
403,8648,1.3
